56,RMEfan,8204345,2759,I'm freaking awesome,281303,NM3,A,502381
57,ifox,18736170,2810,tapping,282943,DT1,A,522253
58,mrshmary,12476276,3871,one yenci,291315,DT2,A,670227
59,soft kitty,16303970,5984,I weigh 435 pounds. My favorite food is Whataburger and my favorite thing is to shoot my shotgun in the backyard. I can’t play tapping,267842,NM1,A,439316
60,ForestMastr,9199901,8125,leaderboard farm on maps with 40 playcount,290574,HD2,A,687272
61,Tony 2,8935379,764,im learning keyboard right now so i can play jumps slower than 200bpm and thats it,261590,HR1,A,554910
62,Doga,5009715,1188,speed and hardly rocking (rocking hardly) and finker control,277230,DT1,A,550650
63,-Tynamo,3638962,5195,Washed (+HD -stamina),276218,HD1,A,591196
64,vleth,18556796,10434,"General NM + HD, gimmick",265175,EZ1,A,212631
65,AnnoyingManiac,11613306,9068,aim,261841,NM1,A,370792
66,Mejiro McQueen,11555612,3306,nm and hd fill except i cant alt or tap,249481,NM3,A,393515
67,daniel_,13139356,1711,"stamina + low ar, can't play anything ar10 or above or anything with aim",267680,EZ1,S,389315
68,dnfd,3189069,628,speed and aim,260377,DT1,A,563303
69,MatalisFanGirl,28214037,11317,"Right now i am still grinding to be an all rounder become a relly good all rounder but right now my main skillsets are Low bpm stamina, Aim (especially dt and hd aim), Streams, alt, and some some tech",262745,FM1,A,464769
70,sans undertale,9689716,13766,i can play everything but speed and reading :D,250461,NM3,A,402572
71,soft kitten,9632648,1563,"Cytusine — 08/01/2024 4:40 PM
ingredientsus
?
ajmosca — 08/01/2024 4:56 PM
:nottheimposustor:",253995,HD2,B,411449
72,XxCheesesteak,8106988,6131,"average nm mechanics & hd/gimmick, terrible at anything ar10 or higher",241538,NM3,A,482336
73,7Chibi,10495781,13458,dude im literally the hr version of cannon fodder,240201,NM1,A,448044
74,ThisIsGod,6736936,2010,Best in speed and precision. Cant play at hd.,249861,HR2,A,520410
75,RocketeerRover,14477332,7980,"I like hard rock, alt and tech. Do not put me on tapping or speed.",235866,HR2,A,407106
76,Eaves,8563062,3418,hardrock slave but i can play mostly anything aside from reading/speed,234667,NM1,A,356671
77,TornadoSpinner,17058928,8875,https://osu.ppy.sh/beatmapsets/790928#osu/1659472,226573,NM2,A,371202
78,wr8th,20276851,1910,"resident tapping abuser, can also play hr and flow aim with a sprinkle of dt aim (late-stage player)",235347,DT2,A,554766
79,Julla,9494931,656,can some play dt,236408,DT2,A,622910
80,OmegaOrigins,12566632,1290,is somebody gonna match my freak? is somebody gonna match my nasty?,228744,HR2,A,539144
